"CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","TS","HRA","CHINDEX","AHINDEX","DISN","CHAPIS","CERR_CODE","EMS","year","county","full_address","latitude","longitude"
"20","SJV","8416","SJU","THE ALMOND COMPANY","2900 AIRPORT DRIVE","MADERA",NA,"723","MAD",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"699.5000243","2016","MADERA","2900 AIRPORT DRIVE, MADERA, MADERA, CA",36.9921045,-120.1064319
"1","SF","12811","BA","THE TERMINIX INTERNATIONAL CO","14558 WICKS BOULEVARD","SAN LEANDRO","94577","7342","ALA",NA,NA,NA,NA,"BAY AREA AQMD",NA,NA,"292.9999831","2016","ALAMEDA","14558 WICKS BOULEVARD, SAN LEANDRO, ALAMEDA, CA",37.6962046,-122.1644649
"15","SJV","634","SJU","TREEHOUSE CALIFORNIA ALMONDS LLC","2114 ROAD 144","DELANO","93215","723","KER",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2016","KERN","2114 ROAD 144, DELANO, KERN, CA",35.7357696,-119.2360254
"15","MD","601","KER","TRICAL, INC","1667 PURDY AVENUE","MOJAVE","93501","2879","KER","4.37",NA,NA,NA,"EASTERN KERN APCD",NA,NA,"365.5942649","2016","KERN","1667 PURDY AVENUE, MOJAVE, KERN, CA",35.0251787,-118.1460147
"50","SJV","8778","SJU","TURLOCK WALNUT COMPANY","400 D ST","TURLOCK","95380","723","STA",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2016","STANISLAUS","400 D ST, TURLOCK, STANISLAUS, CA",37.4875556,-120.8456215
"34","SV","171","SAC","UCD MEDICAL CENTER","4800 2ND AVENUE","SACRAMENTO","95817","8062","SAC",NA,NA,NA,NA,"SACRAMENTO METROPOLITAN AQMD",NA,NA,"0","2016","SACRAMENTO","4800 2ND AVENUE, SACRAMENTO, SACRAMENTO, CA",38.5504767,-121.451504
"1","SF","2066","BA","WASTE MANAGEMENT OF ALAMEDA COUNTY","10840 ALTAMONT PASS RD","LIVERMORE","94551","4953","ALA",NA,NA,NA,NA,"BAY AREA AQMD",NA,NA,"0.696244159","2016","ALAMEDA","10840 ALTAMONT PASS RD, LIVERMORE, ALAMEDA, CA",37.7163616,-121.7078948
"54","SJV","8135","SJU","WAWONA PACKING","12133 AVENUE 408","CUTLER",NA,"723","TUL",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2016","TULARE","12133 AVENUE 408, CUTLER, TULARE, CA",36.530327,-119.3018447
"54","SJV","3338","SJU","WES PAK INC","4572 AVENUE 400","DINUBA","93618","723","TUL",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"519.9999809","2016","TULARE","4572 AVENUE 400, DINUBA, TULARE, CA",36.5342308,-119.3805667
"36","MD","50402013","MOJ","ADELANTO, CITY OF - JONATHAN ST","19101 JONATHAN STREET","ADELANTO","92301","4941","SBD","1.14",NA,NA,NA,"MOJAVE DESERT AQMD",NA,NA,"73.09704036","2017","SAN BERNARDINO","19101 JONATHAN STREET, ADELANTO, SAN BERNARDINO, CA",34.568707,-117.409392
"56","SCC","845","VEN","ANACAPA BERRY FARMS","4300 ETTING RD.","OXNARD","93033","723","VEN",NA,NA,NA,NA,"VENTURA COUNTY APCD",NA,NA,"84","2017","VENTURA","4300 ETTING RD., OXNARD, VENTURA, CA",34.1617597,-119.1461202
"51","SV","24014","FR","ANDEAN NATURALS INC","1200 PUTMAN AVENUE",NA,"95991","723","SUT","2.88",NA,NA,NA,"FEATHER RIVER AQMD",NA,NA,"3000","2017","SUTTER","1200 PUTMAN AVENUE, NA, SUTTER, CA",39.1112432,-121.6090641
"24","SJV","1166","SJU","ANDERSEN NUT COMPANY","3050 S HUNT RD","GUSTINE","95322","723","MER",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"1799.999952","2017","MERCED","3050 S HUNT RD, GUSTINE, MERCED, CA",37.2450245,-120.9939363
"12","NC","97","NCU","BLUE LAKE POWER","200 TAYLOR WAY","BLUE LAKE","95525","4911","HUM","4.99",NA,NA,NA,"NORTH COAST UNIFIED AQMD",NA,"A","0","2017","HUMBOLDT","200 TAYLOR WAY, BLUE LAKE, HUMBOLDT, CA",40.878664,-123.994479
"33","MD","74601569","MOJ","BLYTHE, CITY OF - WASTE WATER TREATMENT","15901 S BROADWAY","BLYTHE","92225","4952","RIV","9.99",NA,NA,NA,"MOJAVE DESERT AQMD",NA,"B","32.94300079","2017","RIVERSIDE","15901 S BROADWAY, BLYTHE, RIVERSIDE, CA",33.6048764,-114.5967154
